SETTING             | CLASS    | ERA   | TEAM   || YEAR | KEY                       | AMMO          || OWNER     | DESIGNATION               |
--------------------|----------|-------|--------||------|---------------------------|---------------||-----------|---------------------------|
swat_city_ray       | sbr      |  20XX |        || 2013 | aac_honey_badger          | 300_blackout  ||           | AAC Honey Badger          |
swat_city_ray       | sbr      |  20XX |        || 2021 | cz_600_trail              | 300_blackout  ||           | CZ 600 Trail              |
--------------------|----------|-------|--------||------|---------------------------|---------------||-----------|---------------------------|
threefold_path_zach |          |       |        ||      | american_180              | 22_lr         || Voere     | American-180              |
threefold_path_zach |          |       |        ||      | american_180_twin         | 22_lr         || Voere     | American-180 ILARCO Twin  |
threefold_path_zach |          |       |        ||      | american_180_quad         | 22_lr         || Voere     | American-180 ILARCO Quad  |
threefold_path_zach |          |       |        ||      | rossi_gallery             | 22_lr         || Rossi     | Gallery                   |
threefold_path_zach |          |       |        ||      | ruger_standard            | 22_lr         || Ruger     | Standard                  |
--------------------|----------|-------|--------||------|---------------------------|---------------||-----------|---------------------------|
alien_intel         |          |       |        ||      | ai_benelli_m3_s90_t       |               || Benelli   | M3 Super 90 Tactical      |
alien_intel         |          |       |        ||      | ai_fn_p90_rcp_120         |               || FN        | P90 "RCP-120"             |
alien_intel         |          |       | --     ||      | ai_fr_famas_ar_34         |               || France    | FAMAS "AR-34"             |
alien_intel         |          |       | --     ||      | ai_laptop_gun             |               || --        | "Laptop Gun"              |
alien_intel         |          |       | --     ||      | ai_neutron_bomb           | unique        || --        | "Neutron Bomb"            |
alien_intel         |          |       | --     ||      | ai_nsa_psychosis_gun      | unique        || --        | "Psychosis Gun"           |
alien_intel         |          |       | --     ||      | ai_us_m16_a2_ar_53        |               || USA       | M16A2 "AR-53"             |
alien_intel         |          |       | --     ||      | ai_walther_wa_2000        |               || Walther   | WA 2000 ""                |
alien_intel         |          |       | --     || --   | ai_knife                  | unique        || --        |                           |
alien_intel         |          |       | --     || --   | ai_proximity_mine         | unique        || --        |                           |
alien_intel         |          |       | --     || --   | ai_remote_mine            | unique        || --        |                           |
alien_intel         |          |       | ARMADA ||      | ai_beretta_m93r_ag_auto_9 | 9mm           || Beretta   | M93R-AG Auto 9 "MagSec 4" |
alien_intel         |          |       | ARMADA ||      | colt_python               | 357_magnum    || Colt      | Python                    |
alien_intel         |          |       | ARMADA ||      | colt_python_gold          | 357_magnum    || Colt      | Python "Gold"             |
alien_intel         |          |       | ARMADA ||      | ai_dd_devastator          |               || --        |                           |
alien_intel         |          |       | ARMADA ||      | ai_dd_rocket_launcher     | unique        || --        |                           |
alien_intel         |          |       | ARMADA ||      | ai_hk_xm8_dragon          |               || --        |                           |
alien_intel         |          |       | ARMADA ||      | ai_steyr_tmp_cmp_150      | 9mm           || Steyr     | TMP "CMP-150"             |
alien_intel         |          |       | ASGARD ||      | ai_maiar_callisto         |               || --        | "Callisto NTG"            |
alien_intel         |          |       | ASGARD ||      | ai_maiar_farsight         |               || --        | "FarSight XR-20"          |
alien_intel         |          |       | ASGARD ||      | ai_maiar_phoenix          |               || --        |                           |
alien_intel         |          |       | ICEFED ||      | ai_cyclone                |               || --        |                           |
alien_intel         |          |       | ICESPY ||      | ai_colt_double_eagle      | 45_acp        || Colt      | Double Eagle "Falcon 2"   |
alien_intel         |          |       | ICESPY ||      | ai_crossbow               | unique        || --        |                           |
alien_intel         |          |       | SKEDAR ||      | ai_skedar_mauler          | unique        || --        | "Skedar Mauler"           |
alien_intel         |          |       | SKEDAR ||      | ai_skedar_reaper          | unique        || --        | "Skedar Reaper"           |
alien_intel         |          |       | SKEDAR ||      | ai_skedar_slayer          | unique        || --        | "Skedar Slayer"           |
--------------------|----------|-------|--------||------|---------------------------|---------------||-----------|---------------------------|
alien_intel_x       |          |  2XXX |        || 2170 | uscmc_m56_a               | 762_nato      || USCMC     | M56A2 Smart               |
alien_intel_x       |          |  2XXX |        || --   | uscmc_m41_ae2             |               || USCMC     | M41AE2 Heavy Pulse        |
alien_intel_x       |          |  2XXX |        || --   | uscmc_m41_a_m2            |               || USCMC     | M41A Pulse MK2            |
alien_intel_x       |          |  2XXX |        || --   | uscmc_m41_a2              |               || USCMC     | M41A2 Pulse               |
alien_intel_x       |          |  2XXX |        || --   | uscmc_m41_a3              |               || USCMC     | M41A3 Burst               |
alien_intel_x       |          |  2XXX |        || --   | uscmc_m42_a2_scout        |               || USCMC     | M42A2 Scout               |
alien_intel_x       |          |  2XXX |        || --   | uscmc_m41_a_s2            |               || USCMC     | M41A/2 Pulse              |
alien_intel_x       |          |  2XXX |        || --   | uscmc_m41_e               |               || USCMC     | M41E Pulse                |
alien_intel_x       |          |  2XXX |        || --   | uscmc_m41_e3              |               || USCMC     | M41E3 Heavy Pulse         |
alien_intel_x       |          |  2XXX |        || --   | uscmc_m41_e4              |               || USCMC     | M41E4 Heavy Pulse         |
--------------------|----------|-------|--------||------|---------------------------|---------------||-----------|---------------------------|
alien_intel_classic |          |       | --     ||      | ai_fn_p90                 |               || FN        | P90 "RCP-45"              |
alien_intel_classic |          |       | --     ||      | ai_hk_mp5k_dmc            |               || H&K       | MP5K "Deutsche"           |
alien_intel_classic |          |       | --     ||      | ai_tokarev_tt_33_cc_13    |               || Tokarev   | TT-33 "Dostovei"          |
alien_intel_classic |          |       | --     ||      | ai_walther_ppk_pp9i       |               || Walther   | PPK "PP7"                 |
--------------------|----------|-------|--------||------|---------------------------|---------------||-----------|---------------------------|
cold_haul_buffalo   |          |       |        ||      |                           |               ||           |                           |
draugb_colony       |          |       |        ||      |                           |               ||           |                           |
draugb_draugb       |          |       |        ||      |                           |               ||           |                           |
draugb_frontier     |          |       |        ||      |                           |               ||           |                           |
draugb_tower        |          |       |        ||      |                           |               ||           |                           |
draugb_wastes       |          |       |        ||      |                           |               ||           |                           |
horse_war           |          |       |        ||      |                           |               ||           |                           |
red_cry             |          |       |        ||      |                           |               ||           |                           |
threefold_path      |          |       |        ||      |                           |               ||           |                           |
